Unnamed: 0,name,full_name,age,height,nationality,place_of_birth,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,price_eur,max_price_eur
314,Florian Schock,,21,2.0,Germany,Ostfildern,0.2,Goalkeeper,42,Right,Vfb Stuttgart,2024-06-30,2021-09-07,Relatives,Unknown,0.2,0.2
353,Anton Stach,,24,1.94,Germany,Buchholz In Der Nordheide,15.0,midfield - Defensive Midfield,6,Both,1.Fsv Mainz 05,2024-06-30,2021-07-31,Roof,Unknown,15.0,15.0
490,Paul Grave,,22,1.93,Germany,Borken,0.1,Goalkeeper,34,Right,Vfl Bochum,,2019-03-02,Fg Sports Gmbh,Unknown,0.1,0.1
138,Faride Alidou,,21,1.86,Germany  Togo,Hamburg,2.5,Attack - Left Winger,11,Right,E. Frankfurt,2026-06-30,2022-07-01,Ftc,Unknown,2.5,2.5
502,Jacek Goralski,Jacek Góralski,30,1.72,Poland,Bydgoszcz,3.0,midfield - Defensive Midfield,5,Right,Vfl Bochum,2024-06-30,2022-07-01,Unidos,Unknown,1.0,3.0
274,Tim Maciejewski,Tim Luis Maciejewski,22,1.86,Germany,Berlin,0.35,Attack - Right Winger,16,Right,Union Berlin,2023-06-30,2020-07-01,Think Forward,Unknown,0.35,0.35
445,Christian Groß,,34,1.82,Germany,Bremen,0.5,midfield - Defensive Midfield,36,Both,Werder Bremen,2024-06-30,2020-08-01,Dlt Sports Group,Unknown,0.5,0.5
357,Aymen Barkok,أيمن بركوك,24,1.89,Morocco  Germany,Frankfurt Am Main,3.5,midfield - Central Midfield,4,Right,1.Fsv Mainz 05,2025-06-30,2022-07-01,Sports Excellence ...,Unknown,1.5,3.5
87,Lukas Hradecky,Lukáš Hrádecký,33,1.92,Finland  Slovakia,Bratislava,12.0,Goalkeeper,1,Right,B. Leverkusen,2026-06-30,2018-07-01,Unknown,Uhlsport,2.5,12.0
76,Xaver Schlager,,25,1.74,Austria,Linz,27.0,midfield - Central Midfield,24,Left,Rb Leipzig,2026-06-30,2022-07-01,Roof,Puma,22.0,27.0
452,Maximilian Philipp,Maximilian Marcus Philipp,29,1.83,Germany,Berlin,20.0,Attack - Second Striker,17,Right,Werder Bremen,2023-06-30,2023-01-30,Unique Sports Group,Unknown,2.0,20.0
15,Leon Goretzka,Leon Christoph Goretzka,28,1.89,Germany,Bochum,70.0,midfield - Central Midfield,8,Right,Bayern Munich,2026-06-30,2018-07-01,Neubauer 13 Gmbh,Unknown,65.0,70.0
206,Lukas Kübler,,30,1.82,Germany,Bonn,3.0,Defender - Right-Back,17,Right,Sc Freiburg,,2015-07-01,Roof,Unknown,3.0,3.0
277,Jordan,,27,1.91,United States  France,"Washington, D. C.",10.0,Attack - Centre-Forward,45,Right,Union Berlin,2026-06-30,2022-07-01,Unknown,Unknown,9.0,10.0
398,Sebastian Andersson,Martin Sebastian Andersson,31,1.9,Sweden,Ängelholm,7.0,Attack - Centre-Forward,9,Right,1.Fc Köln,2023-06-30,2020-09-15,People In Sport,Unknown,1.0,7.0
19,Arijon Ibrahimovic,Arijon Ibrahimović / Arijon Ibrahimi,17,1.76,Germany  Kosovo,Nürnberg,1.0,midfield - Attacking Midfield,46,Right,Bayern Munich,2025-06-30,2023-01-17,Agent Is Known - Player Under 18,Unknown,1.0,1.0
458,Justin Heekeren,,22,1.96,Germany,Veen,0.25,Goalkeeper,28,Both,Fc Schalke 04,2025-06-30,2022-07-01,Royal,Unknown,0.25,0.25
342,Finn Dahmen,Finn Gilbert Dahmen,25,1.88,Germany  England,Wiesbaden,2.0,Goalkeeper,1,Right,1.Fsv Mainz 05,2023-06-30,2018-07-01,Cn Sports,Unknown,1.0,2.0
56,Julien Duranville,,17,1.7,Belgium,Uccle,5.0,Attack - Right Winger,16,Right,Bor. Dortmund,,2023-01-27,Agent Is Known - Player Under 18,Unknown,5.0,5.0
337,Juan José Perea,Juan José Perea Mendoza,23,1.8,Colombia,Bogotá,2.4,Attack - Centre-Forward,11,Right,Vfb Stuttgart,2026-06-30,2022-07-08,Konstantinos Farras,Adidas,2.4,2.4
505,Pierre Kunde,Pierre Kunde Malong,27,1.8,Cameroon,Limbé,10.0,midfield - Central Midfield,28,Right,Vfl Bochum,2023-06-30,2023-01-06,Is Sports Agency ...,Unknown,2.0,10.0
241,Finn Ole Becker,,22,1.77,Germany,Elmshorn,2.5,midfield - Central Midfield,20,Left,Tsg Hoffenheim,2026-06-30,2022-07-01,Sports360 Gmbh,Unknown,1.0,2.5
410,Lukas Ullrich,,19,1.8,Germany,Berlin,0.75,Defender - Left-Back,26,Left,Hertha Bsc Ii,2023-06-30,2022-07-01,Seg,Puma,0.75,0.75
311,Irvin Cardona,,25,1.85,France  Malta,Nîmes,8.0,Attack - Centre-Forward,48,Right,Fc Augsburg,2027-06-30,2023-01-18,Wasserman,Unknown,2.5,8.0
473,Éder Balanta,Éder Fabián Álvarez Balanta,30,1.8,Colombia,Bogotá,6.5,midfield - Defensive Midfield,33,Left,Fc Schalke 04,2023-06-30,2023-01-31,No Agent,Unknown,3.0,6.5
436,Amos Pieper,,25,1.92,Germany,Lüdinghausen,7.0,Defender - Centre-Back,5,Right,Werder Bremen,2026-06-30,2022-07-01,Sports360 Gmbh,Unknown,6.0,7.0
494,Dominique Heintz,,29,1.88,Germany,Neustadt An Der Weinstraße,10.0,Defender - Centre-Back,30,Left,Vfl Bochum,2023-06-30,2022-08-11,Sports360 Gmbh,Unknown,1.5,10.0
